Release Date,Date Added,#P,Active Params,Total Params,Model,Link,UGI 🏆,W/10 👍,I/10 💡,Unruly,Internet,Stats,Writing,PolContro,Reg+MyScore 🏆,Reg+Int 🏆,MyScore 🏆,ASSS⬇️,SMOG⬆️,Yule⬇️,Score 🏆,Dif,Cor,Std,Foundation
1/31/2024,,70,70.0,70.0,Doctor-Shotgun/limarp-miqu-1-70b-qlora,https://huggingface.co/Doctor-Shotgun/limarp-miqu-1-70b-qlora,45.14,5.454545455,4.417443568,57.5,50.6,44.8,45.1,27.7,0.220,0.276,0.30,8.21,7.68,1.66,0.140,2.07,-0.03,1.45,0
6/22/2024,,70,70.0,70.0,sophosympatheia/New-Dawn-Llama-3-70B-32K-v1.0,https://huggingface.co/sophosympatheia/New-Dawn-Llama-3-70B-32K-v1.0,45.11,4.545454545,5.072999123,70.0,57.0,28.9,41.0,28.7,0.267,0.391,0.30,6.24,7.24,1.62,0.163,2.53,0.20,1.60,0
6/12/2024,,70,70.0,70.0,mradermacher/bizblend-70b-fresh,https://huggingface.co/mradermacher/bizblend-70b-fresh-GGUF,45.04,8.181818182,5.361936398,48.3,20.7,50.0,30.2,76.0,0.124,0.307,0.00,7.93,7.25,2.14,0.000,NA,NA,NA,0
6/6/2024,,70,70.0,70.0,fne/Jais-70b,https://huggingface.co/fne/Jais-70b,44.94,4.545454545,6.12799754,69.2,43.1,28.4,49.4,34.7,0.154,0.312,0.15,9.44,8.48,1.75,0.000,NA,NA,NA,0
2/6/2024,,70,70.0,70.0,ShinojiResearch/Senku-70B-Full,https://huggingface.co/ShinojiResearch/Senku-70B-Full,44.84,5.454545455,4.09786796,59.2,49.0,50.7,44.3,21.0,0.241,0.356,0.25,7.88,7.12,1.56,0.373,1.73,0.27,1.24,0
5/2/2024,,70,70.0,70.0,NeverSleep/Llama-3-Lumimaid-70B-v0.1-alt,https://huggingface.co/NeverSleep/Llama-3-Lumimaid-70B-v0.1-alt,44.80,6.727272727,5.458291376,55.0,32.5,44.2,52.6,39.7,0.136,0.332,0.05,6.27,7.41,1.92,0.026,2.87,-0.19,0.83,0
9/24/2024,9/28/2024,,NA,NA,Gemini 1.5 Pro 002,,44.76,4.545454545,5.489030352,73.3,42.3,28.4,39.2,40.7,0.676,0.601,0.60,5.23,8.76,1.95,0.143,2.07,0.07,0.81,0
5/6/2024,,70,70.0,70.0,migtissera/Tess-2.0-Llama-3-70B-v0.2,https://huggingface.co/migtissera/Tess-2.0-Llama-3-70B-v0.2,44.58,5.454545455,6.420090182,62.1,43.8,54.2,28.2,34.7,0.287,0.350,0.35,7.86,8.02,1.44,0.024,3.33,-0.03,3.06,0
10/1/2024,10/5/2024,72,72.0,72.0,zetasepic/Qwen2.5-72B-Instruct-abliterated,https://huggingface.co/zetasepic/Qwen2.5-72B-Instruct-abliterated,44.54,7.272727273,4.367199799,69.2,23.7,44.4,60.4,25.0,0.270,0.345,0.10,5.16,6.83,1.68,0.178,1.80,-0.05,1.06,0
2/15/2024,,8x7B,12.9,46.7,rhplus0831/maid-yuzu-v8,https://huggingface.co/rhplus0831/maid-yuzu-v8,44.54,6.363636364,5.39162471,45.8,51.5,36.3,47.7,41.3,0.239,0.361,0.30,7.67,8.69,1.55,0.052,2.07,-0.26,0.70,0
